hw_model,Launch,Code name,Fab (nm),Transistors (million)Die size (mm2),Bus interface,clock,Memory clock (MHz),Core config,Fillrate MOperations/s,Fillrate MPixels/s,Fillrate MTexels/s,Fillrate MVertices/s,Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit)
GeForce 6100 + nForce 410,"October 20, 2005",MCP51,TSMC 90 nm,0,HyperTransport,425,100–200 (DDR)200–533 (DDR2),2:1:2:1,850,425,850,106.25,Up to 256 system RAM,1.6–6.4 (DDR)3.2–17.056 (DDR2),DDRDDR2,64128
GeForce 6150 SE + nForce 430,June 2006,MCP61,TSMC 90 nm,0,HyperTransport,425,200400[citation needed],2:1:2:1,850,425,850,106.25,Up to 256 system RAM,3.216.0[citation needed],DDR2,64128
GeForce 6150 LE + nForce 430,June 2006,MCP61,TSMC 90 nm,0,HyperTransport,425,100–200 (DDR)200–533 (DDR2),2:1:2:1,850,425,850,106.25,Up to 256 system RAM,1.6–6.4 (DDR)3.2–17.056 (DDR2),DDRDDR2,64128
GeForce 6150 + nForce 430,"October 20, 2005",MCP51,TSMC 90 nm,0,HyperTransport,475,100–200 (DDR)200–533 (DDR2),2:1:2:1,950,475,950,118.75,Up to 256 system RAM,1.6–6.4 (DDR)3.2–17.056 (DDR2),DDRDDR2,64128
GeForce 6200 LE,"April 4, 2005",NV44,TSMC 110 nm,75110[28],AGP 8xPCIe x16,350,266,2:1:2:1,700,700,700,87.5,128256,4.256,DDR,64
GeForce 6200A,"April 4, 2005",NV44A,TSMC 110 nm,75110[29],AGP 8x,350[30],250 (DDR)250-333 (DDR2)[30],4:3:4:2,"1,400[30]",700[30],1400[30],175225 (DDR2)[31],128256[30]512[30],44-5.34 (DDR2)[32],DDRDDR2[31],64[31]
GeForce 6200,"October 12, 2004 (PCIe)January 17, 2005 (AGP)",NV43,TSMC 110 nm,146154[33],AGP 8xPCIPCIe x16,300,275,4:3:4:4,1200,1200,1200,225,128256,8.8,DDR,128
GeForce 6200 TurboCache,"December 15, 2004",NV44,TSMC 110 nm,75110[28],PCIe x16,350,200275350,4:3:4:2,1400,700,1400,262.5,128–256 System RAM incl.16/32–64/128 onboard,3.24.45.6,DDR,64
GeForce 6500,"October 1, 2005",NV44,TSMC 110 nm,75110[28],PCIe x16,400,333,4:3:4:2,1600,800,1600,300,128256,5.328,DDR,64
GeForce 6600 LE,2005,NV43,TSMC 110 nm,146154[33],AGP 8xPCIe x16,300,200,4:3:4:4,1200,1200,1200,225,128256,6.4,DDR,128
GeForce 6600,"August 12, 2004",NV43,TSMC 110 nm,146154[33],AGP 8xPCIe x16,300,275400,8:3:8:4,2400,1200,2400,225,128256,8.812.8,DDRDDR2,128
GeForce 6600 GT,"August 12, 2004 (PCIe)November 14, 2004 (AGP)",NV43,TSMC 110 nm,146154[33],AGP 8xPCIe x16,500,475 (AGP)500 (PCIe),8:3:8:4,4000,2000,4000,375,128256,15.2 (AGP)[34]16 (PCIe),GDDR3,128
GeForce 6800 LE,"July 22, 2004 (AGP)January 16, 2005 (PCIe)","NV40 (AGP)NV41, NV42 (PCIe)",IBM 130 nm,222287 (NV40)[35]222225 (NV41)[36]198222 (NV42)[37],AGP 8xPCIe x16,320 (AGP)325 (PCIe),350,8:4:8:8,"2,560 (AGP)2,600 (PCIe)","2,560 (AGP)2,600 (PCIe)","2,560 (AGP)2,600 (PCIe)",320 (AGP)325 (PCIe),128,22.4,DDR,256
GeForce 6800 XT,"September 30, 2005","NV40 (AGP)NV41, NV42 (PCIe)",IBM 130 nm,222287 (NV40)[35]222225 (NV41)[36]198222 (NV42)[37],AGP 8xPCIe x16,300 (64 Bit)325,266 (64 Bit)350500 (GDDR3),8:4:8:8,24002600,24002600,24002600,300325,256,4.25611.222.432 (GDDR3),DDRDDR2GDDR3,64[38]128[39]256
GeForce 6800,"April 14, 2004 (AGP)November 8, 2004 (PCIe)","NV40 (AGP)NV41, NV42 (PCIe)",IBM 130 nm,222287 (NV40)[35]222225 (NV41)[36]198222 (NV42)[37],AGP 8xPCIe x16,325,350,12:5:12:12,3900,3900,3900,406.25,128256,22.4,DDR,256
GeForce 6800 GTO,"April 14, 2004",NV45,IBM 130 nm,222287 (NV45)[40],PCIe x16,0,450,12:5:12:12,4200,4200,4200,437.5,256,28.8,GDDR3,256
GeForce 6800 GS,"November 7, 2005 (PCIe)December 8, 2005 (AGP)",NV42 (PCIe)NV40 (AGP),TSMC 110 nm,222287 (NV40)[35]198222 (NV42)[37],AGP 8xPCIe x16,425 (PCIe)350 (AGP),500,12:5:12:12,5100,5100,5100,531.25,128256,32,GDDR3,256
GeForce 6800 GT,"May 4, 2004 (AGP)June 28, 2004 (PCIe)",NV40 (AGP)NV45 (PCIe),IBM 130 nm,222287 (NV40)[35]222287 (NV45)[40],AGP 8xPCIe x16,350,500,16:6:16:16,5600,5600,5600,525,128256,32,GDDR3,256
GeForce 6800 Ultra,"May 4, 2004 (AGP)June 28, 2004 (PCIe)March 14, 2005 (512 MB)",NV40 (AGP)NV45 (PCIe),IBM 130 nm,222287 (NV40)[35]222287 (NV45)[40],AGP 8xPCIe x16,400,525 (512 MB)550 (256 MB),16:6:16:16,6400,6400,6400,600,256512,33.6 (512 MB)35.2 (256 MB),GDDR3,256
GeForce 6800 Ultra Extreme Edition,"May 4, 2004",NV40,IBM 130 nm,222287 (NV40)[35],AGP 8x,450,600,16:6:16:16,7200,7200,7200,675,256,35.2,GDDR3,256
