hw_model,Launch,Code name,Fab (nm),Bus interface,clock,Shader clock (MHz),Memory clock (MHz),Core config12*,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Processing power (GFLOPS) Single precision,Supported API version Direct3D,Supported API version OpenGL,Supported API version Vulkan,TDP (Watts),Notes
NVS 50,"May 31, 2005",NV18,150,AGP 4x/PCI,250,250.0,200.0,0:2:4:2,0.5,1.0,64,1.6,DDR,32,0,7,1.2,0.0,0.0,"DVI-I, S-Video"
NVS 100,"Dec 22, 2003",NV17,150,AGP 4x/PCI,200,0.0,333.0,0:2:4:2,0,0,64,2.664,DDR,64,0,7,1.2,0.0,0.0,"2x DVI-I, VGA, S-Video"
NVS 200,"Dec 22, 2003",NV17,150,AGP 4x/PCI,250,250.0,250.0,0:2:4:2,0.5,1.0,64,8.0,DDR,128,0,7,1.2,0.0,0.0,LFH-60
NVS 210S,"Dec 22, 2003",MCP51,90,Integrated,425,0.0,0.0,1:2:2:1,0.425,0.850,Up to 256 from system memory,0,DDR,128,0,9.0c,1.2,0.0,0.0,DVI + VGA
NVS 280,"Oct 28, 2003",NV34GL,150,PCIe x16/AGP 8x / PCI,275,275.0,250.0,0:2:4:2/1:2:2:2 *:4:4:4,0.55,1.1,64,8.0,DDR,128,0,9.0,1.5,0.0,13.0,DMS-59
NVS 285,"Jun 6, 2006",NV44,110,PCIe x1/x16,275,275.0,275.0,3:4:4:2,0.55,1.1,128,8.8,DDR,128,0,9.0,2.1,0.0,18.0,DMS-59
NVS 290,"Oct 4, 2007",G86-827-A2,80,PCIe x1/x16,460,920.0,800.0,16:8:4,1.84,3.68,256,6.4,DDR2,64,44.16,10,3.3,0.0,21.0,DMS-59
NVS 295,"May 7, 2009",G98,65,PCIe x1/x16,550,1300.0,1400.0,8:8:4,2.2,4.4,256,11.2,GDDR3,64,31.2,10,3.3,0.0,23.0,2x DisplayPort or 2x DVI-D
NVS 300,"Jan 8, 2011",GT218,40,PCIe x1/x16,589,1402.0,1580.0,16:8:4,2.356,4.712,512,12.64,DDR3,64,67.3,10.1,3.3,0.0,17.5,DMS-59
NVS 310,"Jun 26, 2012",GF119,40,PCIe x16,523,1046.0,1750.0,48:8:4,2.092,4.184,512,14,DDR3,64,100.4,11.0,4.1,0.0,19.5,2x DisplayPort
NVS 315,"Mar 10, 2013",GF119,40,PCIe x16,523,1046.0,1750.0,48:8:4,2.092,4.184,1024,14,DDR3,64,100.4,11.0,4.1,0.0,19.5,DMS-59 Idle Power Consumption 7W
NVS 400,"Jul 16, 2004",2x NV17,150,PCI,220,220.0,332.0,2x 0:2:4:2,2x 0.44,2x 0.88,2x 64,2x 11.0,DDR,2x 128,2x 5.328,7,1.2,0.0,18.0,2x LFH-60
NVS 420,"Jan 20, 2009",2xG98-850-U2,65,PCIe x1/x16,550,1300.0,1400.0,2x 8:8:4,2x 2.2,2x 4.4,2x 256,2x 11.2,GDDR3,2x 64,2x 31.2,10,3.3,0.0,40.0,through VHDCI to (4x DisplayPort or 4x DVI-D)
NVS 440,"Feb 14, 2006",2xNV43,110,PCIe x1/x16,250,0.0,500.0,2x 4:8:8:8,2x 2.000,2x 2.000,2x 128,2x 8.000,DDR,2x 128,0,9.0,2.1,0.0,31.0,2x DMS-59[329]
NVS 450,"Nov 11, 2008",2xG98,65,PCIe x1/x16,550,1300.0,1400.0,2x 8:8:4,2x 2.2,2x 4.4,2x 256,2x 11.2,GDDR3,2x 64,2x 31.2,10,3.3,0.0,35.0,4x DisplayPort
NVS 510,"Oct 23, 2012",GK107,28,PCIe 2.0 x16,797,0.0,1782.0,192:16:8(1 SMX),3.188,12.75,2048,28.5,DDR3,128,306.0,11.0,4.6,1.2,35.0,4x miniDisplayPort
NVS 810,"Nov 4, 2015",2x GM107,28,PCIe 3.0 x16,1033,0.0,1800.0,2x 512:32:16,16.53,33.06,2x 2048,2x 14.4,DDR3,2x 64,1058,11.0,4.6,1.3,68.0,8x miniDisplayPort
