hw_model,Launch,Code name,Fab (nm),Bus interface,clock,Boost clock (MHz),L2 Cache (MB),Core config1,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (GB),Memory Bandwidth (GB/s),Memory Memory clock (MHz),Memory Bus type,Memory Bus width (bit),Processing power (GFLOPS) Single precision,Processing power (GFLOPS) Half Precision,Processing power (GFLOPS) Double precision,Supported API version Direct3D,Supported API version OpenGL,Supported API version Vulkan,Supported API version OpenCL,Supported API version CUDA,TDP (Watts),Notes
Quadro T500[313],"Dec 2, 2020",TU117(N19P-Q1-A1),12,PCIe 3.0,0.0,0.0,1,896:?:?:?:?,0.0,0.0,2,80,0.0,GDDR5,0.0,3000.0,0.0,0.0,12.1,4.6,1.2,3.0,7.5,0,0.0
Quadro T500[313],"Dec 2, 2020",TU117(N19P-Q1-A1),12,PCIe 3.0,0.0,0.0,1,896:?:?:?:?,0.0,0.0,4,80,0.0,GDDR5,0.0,3000.0,0.0,0.0,12.1,4.6,1.2,3.0,7.5,0,0.0
Quadro T550[313],May 2022,0,12,PCIe 3.0,0.0,0.0,1,1024:?:?:?:?,0.0,0.0,4,112,0.0,GDDR5,0.0,3700.0,0.0,0.0,12.1,4.6,1.2,3.0,7.5,0,0.0
Quadro T600[313],"Apr 12, 2021",0,12,PCIe 3.0,0.0,0.0,1,896:?:?:?:?,0.0,0.0,4,192,0.0,GDDR5,0.0,3000.0,0.0,0.0,12.1,4.6,1.2,3.0,7.5,0,0.0
Quadro T1000[346],"May 27, 2019",TU117(N19P-Q1-A1),12,PCIe 3.0,1395.0,1455.0,1,768:48:32:12:1536,46.56,69.84,4,128,2000.0,GDDR5,128.0,2235.0,0.0,69.84,12.1,4.6,1.2,3.0,7.5,40-50,0.0
Quadro T1200[313],"Apr 12, 2021",0,12,PCIe 3.0,0.0,0.0,1,1024:?:?:?:?,0.0,0.0,4,224,0.0,GDDR5,0.0,3700.0,0.0,0.0,12.1,4.6,1.2,3.0,7.5,0,0.0
Quadro T2000[346],"May 27, 2019",TU117(N19P-Q3-A1),12,PCIe 3.0,1575.0,1785.0,1,1024:64:32:16:2048,57.1,114.2,4,128,0.0,GDDR5,128.0,3500.0,0.0,0.0,12.1,4.6,1.2,3.0,7.5,60,0.0
Quadro T2000 Max-Q,"May 27, 2019",TU117,12,PCIe 3.0,0.0,0.0,1,1024:64:32:16:2048,0.0,0.0,4,128,0.0,GDDR5,128.0,0.0,0.0,0.0,12.1,4.6,1.2,3.0,7.5,40,0.0
Quadro RTX 3000[346],"May 27, 2019",TU106(N19E-Q1-KA-K1),12,PCIe 3.0,945.0,1380.0,4,2304:144:48:36:288,88.32,198.7,6,448,1750.0,GDDR6,256.0,6359.0,12720.0,198.7,12.1,4.6,1.2,3.0,7.5,60-80,0.0
Quadro RTX 3000 Max-Q[347],"May 27, 2019",TU106,12,PCIe 3.0,600.0,1215.0,4,2304:144:48:36:288,77.76,175.0,6,416,1625.0,GDDR6,256.0,5599.0,11200.0,175.0,12.1,4.6,1.2,3.0,7.5,60,0.0
Quadro RTX 4000[346],"May 27, 2019",TU104(N19E-Q3-A1),12,PCIe 3.0,1110.0,1560.0,4,2560:160:64:40:320,99.84,249.6,8,448,1750.0,GDDR6,256.0,7987.0,15970.0,249.6,12.1,4.6,1.2,3.0,7.5,110,0.0
Quadro RTX 4000 Max-Q[348],"May 27, 2019",TU104,12,PCIe 3.0,780.0,1380.0,4,2560:160:64:40:320,88.32,220.8,8,416,1625.0,GDDR6,256.0,7066.0,14130.0,220.8,12.1,4.6,1.2,3.0,7.5,80,0.0
Quadro RTX 5000[346],"May 27, 2019",TU104(N19E-Q5-A1),12,PCIe 3.0,0.0,0.0,4,3072:192:64:48:384,98.88,296.6,16,448,1750.0,GDDR6,256.0,9492.0,18980.0,296.6,12.1,4.6,1.2,3.0,7.5,110,0.0
Quadro RTX 5000 Max-Q[349],"May 27, 2019",TU104,12,PCIe 3.0,600.0,1350.0,4,3072:192:64:48:384,86.4,259.2,16,448,1750.0,GDDR6,256.0,8294.0,15970.0,259.2,12.1,4.6,1.2,3.0,7.5,80,0.0
