hw_model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,clock,Memory clock (MHz),Core config,Fillrate MOperations/s,Fillrate MPixels/s,Fillrate MTexels/s,Fillrate MVertices/s,Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit)
GeForce 7025 + nForce 630a,July 2007,MCP68S,TSMC 110 nm,0,0,HyperTransport,425,200 (DDR)400 (DDR2)933 (DDR3),2:1:2:2,850,850,850,106.25,Up to 256 system RAM,6.412.834,DDRDDR2DDR3,64128
GeForce 7050PV + nForce 630a,July 2007,MCP67QV,TSMC 110 nm,0,0,HyperTransport,425,200 (DDR)400 (DDR2)933 (DDR3),2:1:2:2,850,850,850,106.25,Up to 256 system RAM,6.412.834,DDRDDR2DDR3,64128
GeForce 7050 + nForce 610i/630i,July 2007,MCP73,TSMC 90 nm,0,0,HyperTransport/FSB,500,333,2:1:2:2,1000,1000,1000,125,Up to 256 system RAM,5.336,DDR2,64
GeForce 7100 + nForce 630i,July 2007,MCP76,TSMC 90 nm,0,0,FSB,600,400,2:1:2:2,1200,1200,1200,150,Up to 256 system RAM,6.4,DDR2,64
GeForce 7150 + nForce 630i,July 2007,MCP76,TSMC 90 nm,0,0,FSB,630,400,2:1:2:2,1260,1260,1260,157.5,Up to 256 system RAM,6.4,DDR2,64
GeForce 7100 GS,"August 8, 2006",NV44,TSMC 110 nm,75[28],110,PCIe x16,350,266333,4:3:4:2,1400,700,1400,262.5,128256,2.44.8,DDR2,3264
GeForce 7200 GS,"January 18, 2006",G72,TSMC 90 nm,112[41],81,PCIe x16,450,400,2:2:4:2,1800,900,1800,337.5,128256,3.26.4,DDR2,3264
GeForce 7300 SE,"March 22, 2006",G72,TSMC 90 nm,112[41],81,PCIe x16,350,333,4:3:4:2,1800,900,1800,337.5,128,2.6565.328,DDR2,3264
GeForce 7300 LE,"March 22, 2006",G72,TSMC 90 nm,112[41],81,PCIe x16,350,333,4:3:4:2,1800,900,1800,337.5,128,2.6565.328,DDR2,3264
GeForce 7300 GS,"January 18, 2006",G72,TSMC 90 nm,112[41],81,PCIe x16,550,400,4:3:4:2,2200,1100,2200,412.5,128256,6.4,DDR2,64
GeForce 7300 GT,"May 15, 2006",G73,TSMC 90 nm,177[42],125,AGP 8xPCIe x16,350,325 (DDR2)700 (GDDR3),8:5:8:4,2800,1400,2800,437.5,128256,10.422.4,DDR2GDDR3,128
GeForce 7500 LE,2006,G72,TSMC 90 nm,112[41],81,PCIe x16,475550,405324,4:3:4:2,2200,1100,2200,593.8,64128256,6.4805.2,DDR2,64
GeForce 7600 GS,"March 22, 2006 (PCIe)July 1, 2006 (AGP)",G73,TSMC 90 nm,177[42],125,AGP 8xPCIe x16,400,400 (DDR2)700 (GDDR3),12:5:12:8,4800,3200,4800,500,256,12.822.4,DDR2GDDR3,128
GeForce 7600 GT,"March 9, 2006 (PCIe)July 15, 2006 (AGP)",G73,TSMC 90 nm,177[42],125,AGP 8xPCIe x16,560,400 (DDR2)700 (GDDR3),12:5:12:8,6720,4480,6720,700,256,12.822.4,DDR2GDDR3,128
GeForce 7600 GT 80 nm,"January 8, 2007",G73-B1,TSMC 80 nm,177[42],125,AGP 8xPCIe x16,560,400 (DDR2)700 (GDDR3),12:5:12:8,6720,4480,6720,700,256,12.822.4,DDR2GDDR3,128
GeForce 7650 GS,"March 22, 2006",G73,TSMC 80 nm,177[42],125,PCIe x16,450,400,12:5:12:8,5400,3600,5400,562.5,256,12.7,DDR2,128
GeForce 7800 GS,"February 2, 2006",G70,TSMC 110 nm,302[43],333,AGP 8x,375,600,16:8:16:8,6000,3000,6000,750,256,38.4,GDDR3,256
GeForce 7800 GT,"August 11, 2005",G70,TSMC 110 nm,302[43],333,PCIe x16,400,500,20:7:20:16,8000,6400,8000,700,256,32,GDDR3,256
