architecture,Launch,Code name(s),Process,Transistors (billion),node,Core config,Bus Interface,L2 Cache (MB),Clock speeds Basecoreclock(MHz),Clock speeds Boostcoreclock(MHz),Clock speeds Memory(MT/s),Memory Size(GB),Memory Bandwidth(GB/s),Memory Type,Memory Buswidth(bit),Fillrate Pixel(GP/s),Fillrate Texture(GT/s),processing power (GFLOPS)_single_precision,processing power (GFLOPS)_double_precision,processing power (GFLOPS)_half_precision,processing power (TFLOPS) Tensor compute (FP16),Ray tracing Performance Rays/s(Billions),Ray-tracing Performance RTX OPS/s (Trillions),tdp,Features,hw_model,Chips,Thread processors(total),memory_bus,memory_size,clock,shaders_cuda_cores,shaders_clock,shaders_max_clock,memory_bus_width,memory_clock,memory_bandwidth,processing power (GFLOPS)_half_precision_tensor,cuda_compute_capability,"Notes, form factor Unnamed: 18_level_2",model,codes,codes2
Maxwell,2017-11-17,GM108(N16V-GMR1-A1),TSMC28 nm,?,?,256:16:8:3,PCIe 3.0×4,1.0,965,993,1800(DDR3)5000(GDDR5),2.0,14.4(DDR3)40.1(GDDR5),DDR3GDDR5,64.0,(7.944),(15.89),(508.4),(15.89),—,—,—,—,30,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GeForce MX110,GM108,['N16V-GMR1-A1']
Maxwell,2017-11-17,GM108(N16S-GTR-A1),TSMC28 nm,?,?,384:24:8:3,PCIe 3.0×4,1.0,1122,1242,1800(DDR3)5000(GDDR5),2.0,14.4(DDR3)40.1(GDDR5),DDR3GDDR5,64.0,(9.936),(29.81),861.7(953.9),26.93(29.81),—,—,—,—,30,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GeForce MX130,GM108,['N16S-GTR-A1']
Pascal,2017-05-17,GP108(N17S-LG-A1),Samsung14 nm,1.8,74,384:24:16:3,PCIe 3.0×4,0.5,937,1038,5000,24.0,40,GDDR5,64.0,(14.99),(22.49),719.6(797.2),22.49(24.91),11.24(12.45),—,—,—,10,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GeForce MX150,GP108,['N17S-LG-A1']
Pascal,2017-05-17,GP108-650-A1(N17S-G1-A1),Samsung14 nm,1.8,74,384:24:16:3,PCIe 3.0×4,0.5,1468,1532,6000,24.0,48,GDDR5,64.0,(23.49),(35.23),1127(1177),35.23(36.77),17.62(18.38),—,—,—,25,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GeForce MX150,GP108-650-A1,['N17S-G1-A1']
Pascal,2019-02-20,GP108(N17S-G0-A1),Samsung14 nm,1.8,74,256:16:16:2,PCIe 3.0×4,0.5,1519,1531,7000,24.0,56,GDDR5,64.0,(25.31),(25.31),(810.0),(25.31),(12.66),—,—,—,10,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GeForce MX230,GP108,['N17S-G0-A1']
Pascal,2019-02-20,GP108(N17S-LG-A1),Samsung14 nm,1.8,74,384:24:16:3,PCIe 3.0×4,0.5,937,1038,7000,24.0,48,GDDR5,64.0,(16.61),(24.91),(797.2),(24.91),(12.46),—,—,—,10,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GeForce MX250,GP108,['N17S-LG-A1']
Pascal,2019-02-20,GP108(N17S-G2-A1),Samsung14 nm,1.8,74,384:24:16:3,PCIe 3.0×4,0.5,1518,1582,7000,24.0,56,GDDR5,64.0,(24.3),(36.4),(1166),(37.97),(18.98),—,—,—,25,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GeForce MX250,GP108,['N17S-G2-A1']
Pascal,2020-02-12,GP108-655-A1(N17S-LP-A1)(N17S-G3-A1),Samsung14 nm,1.8,74,384:24:16:3,PCIe 3.0×4,0.5,746(LP)1531,936(LP)1594,7000,24.0,56,GDDR5,64.0,(25.50),(38.26),(1224),(38.26),(19.13),—,—,—,10-30,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GeForce MX330,GP108-655-A1,"['N17S-LP-A1', 'N17S-G3-A1']"
Pascal,2020-02-12,GP107-670-A1(N17S-LP-A1)(N17S-G5-A1),Samsung14 nm,3.3,132,640:32:16:5,PCIe 3.0×4,0.5,747(LP)1354,937(LP)1468,7000,24.0,56,GDDR5,64.0,(23.49),(46.98),(1879),(58.72),(29.36),—,—,—,15-25,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GeForce MX350,GP107-670-A1,"['N17S-LP-A1', 'N17S-G5-A1']"
Turing,2020-08-01,TU117(N18S-LP-A1)(N18S-G5-A1),TSMC12FFN,4.7,200,896:56:32:14,PCIe 4.0×4,1.0,720(LP)1395,930(LP)1575,7000,2.0,56,GDDR5,64.0,23.04(50.40),40.32(88.20),1290(2822),40.32(88.20),2581(5645),—,—,—,10-30,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GeForce MX450,TU117,"['N18S-LP-A1', 'N18S-G5-A1']"
