hw_model,launch,Code name,Fab,Transistors (million),Node,bus,clock,memory_clock,Core config_x,Fillrate MOperations/s,Fillrate MPixels/s,Fillrate MTexels/s,Fillrate MVertices/s,memory_size,memory_bandwidth,memory_bus,memory_bus_width,GFLOPS FP32,Supported API version Direct3D,Supported API version OpenGL,Clock rate Core (MHz),Clock rate Shader (MHz),Clock rate Memory (MHz),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),processing power (GFLOPS)_single_precision_x,tdp,Comments,Memory configuration Size (MB),Memory configuration Bandwidth (GB/s),Memory configuration DRAM type,Memory configuration Bus width (bit),Clock rate Memory (MT/s),Release Price (USD),SM count,Supported API version Vulkan,Supported API version OpenCL,processing power (GFLOPS)_double_precision_x,Supported API version OpenCL8,Clock rate Average Boost (MHz),Clock rate Max Boost (MHz),SMX count,Clock rate Base (MHz),Clock rate Max Boost,Process_x,Transistors (billion),L2 Cache (MB)_x,Clock Speeds Base (MHz),Clock Speeds Boost (MHz),Clock Speeds Memory (MT/s),SLI support,Release price (USD) MSRP,Clock speeds Base core (MHz),Clock speeds Boost core (MHz),Clock speeds Memory (MT/s),processing power (GFLOPS)_half_precision_x,Release price (USD) Founders Edition,Clock speeds Base core clock (MHz),Clock speeds Boost core clock (MHz),processing power (GFLOPS) Tensor compute + Single precision,NVLink Support,Clock speeds Memory (GT/s),NVLink support,Release price (USD),processing power (GFLOPS) Tensor compute (FP16),Ray-tracing Performance Rays/s (Billions),Ray-tracing Performance RTX OPS/s (Trillions)_x,processing power (TFLOPS)_single_precision,processing power (TFLOPS)_double_precision,processing power (TFLOPS)_half_precision,processing power (TFLOPS) Tensor compute (FP16) (2:1 sparse),Ray-tracing Performance (TFLOPS),API support Direct3D,API support OpenGL,Supported API version OpenGL Hardware,Supported API version OpenGL Drivers (Software),Clock speed Core (MHz),Clock speed Shader (MHz),Clock speed Memory (MHz),processing power (GFLOPS),Notes,Clock speed Memory (MT/s),Supported API version CUDA,Supported API version CUDA Compute Capability,Notes (original research),Clock speed Min (MHz),Clock speed Average (MHz),Supported API version DirectX,processing power (GFLOPS)_single_precision (boost),Memory (MT/s),processing power (TFLOPS) Tensor compute (FP16)_x,Shader clock (MHz),Boost clock (MHz),Memory clock (MT),processing power (GFLOPS) Tensor compute (FP16) (sparse),Size Profile,Size Slots,Nvidia Optimustechnology,Memory Memory clock (MHz),processing power (GFLOPS) Tensor,Fillrate MTri/s,processing power (GFLOPS) Ray Tracing Performance,Deep Learning TOPS (INT8),Features Video Processing Engine (VPE),Features OpenEXR HDR,Features Scalable Link Interface (SLI),Features TurboCache,Features PureVideo WMV9 Decoding,Features Gamma-correct antialiasing,Features 64-bit OpenEXR HDR,Features Dual Link DVI,Features ScalableLinkInterface(SLI),Features 3-WaySLI,Features PureVideo HDwith VP1,"Features PureVideo 2 with VP2,BSP Engine, and AES128 Engine","Features PureVideo 3 with VP3,BSP Engine, and AES128 Engine",Features PureVideo 4 with VP4,Features Computeability,Features PureVideo 2 with VP2Engine: (BSP and 240 AES),Features PureVideo 4 with VP4 Engine,architecture,Code name(s),node,Core config_y,Bus Interface_y,L2 Cache (MB)_y,Clock speeds Basecoreclock(MHz),Clock speeds Boostcoreclock(MHz),Clock speeds Memory(MT/s),Memory Size(GB),Memory Bandwidth(GB/s),Memory Type,Memory Buswidth(bit),Fillrate Pixel(GP/s),Fillrate Texture(GT/s),processing power (GFLOPS)_single_precision_y,processing power (GFLOPS)_double_precision_y,processing power (GFLOPS)_half_precision_y,processing power (TFLOPS) Tensor compute (FP16)_y,Ray tracing Performance Rays/s(Billions),Ray-tracing Performance RTX OPS/s (Trillions)_y,Chips,Thread processors(total),shaders_cuda_cores,shaders_clock,shaders_max_clock,processing power (GFLOPS)_half_precision_tensor,cuda_compute_capability,model,codes
STG-2000,1995-05-22,NV1,SGS500 nm,1,90,PCI,1275,5060,1:1:1,12,12,12,0,124,0.40.48,FPMEDOVRAM,64,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riva 128,1997-08-25,NV3,SGS 350 nm,4,90,"AGP 1x,",100,100,1:1:1,100,100,100,0,4,1.6,SDR,128,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riva 128ZX,1998-02-23,NV3,SGS/TSMC 350 nm,4,90,"AGP 2x, PCI",100,100,1:1:1,100,100,100,0,8,1.6,SDR,128,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riva TNT,1998-06-15,NV4,TSMC 350 nm,7,90,"AGP 2x, PCI",90,110,2:2:2,180,180,180,0,816,1.76,SDR,128,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanta,1999-03-22,NV6,TSMC 250 nm,0,0,"AGP 4x, PCI",100,125,2:2:2,200,200,200,0,816,1.0,SDR,64,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanta LT,2000-03-01,NV6,TSMC 250 nm,0,0,AGP 2x,80,100,2:2:2,160,160,160,0,816,0.8,SDR,64,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riva TNT2 M64,1999-10-01,NV6,TSMC 250 nm,0,0,"AGP 4x, PCI",125,150,2:2:2,250,250,250,0,8 16 32,1.2,SDR,64,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riva TNT2,1999-03-15,NV5,TSMC 250 nm,15,90,"AGP 4x, PCI",125,150,2:2:2,250,250,250,0,1632,2.4,SDR,128,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riva TNT2 Pro,1999-10-12,NV5,TSMC 220 nm,15,90,"AGP 4x, PCI",143,166,2:2:2,286,286,286,0,1632,2.656,SDR,128,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riva TNT2 Ultra,1999-03-15,NV5,TSMC 250 nm,15,90,"AGP 4x, PCI",150,183,2:2:2,300,300,300,0,1632,2.928,SDR,128,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
